"","row","value","size","sizeclass","is_hacked","es"
"113",11,0.6038,"Large","M","FALSE",0.45
"114",11,0.8872,"Large","M","TRUE",0.45
"115",11,0.5748,"Small","M","FALSE",0.45
"116",11,0.9834,"Small","M","TRUE",0.45
"117",11,0.8796,"Large","L","FALSE",0.45
"118",11,0.9832,"Large","L","TRUE",0.45
"119",11,0.8076,"Small","L","FALSE",0.45
"120",11,0.9966,"Small","L","TRUE",0.45
"121",12,0.403,"Large","S","FALSE",0.5
"122",12,0.79,"Large","S","TRUE",0.5
"123",12,0.4216,"Small","S","FALSE",0.5
"124",12,0.9714,"Small","S","TRUE",0.5
"125",12,0.6944,"Large","M","FALSE",0.5
"126",12,0.929,"Large","M","TRUE",0.5
"127",12,0.6272,"Small","M","FALSE",0.5
"128",12,0.9876,"Small","M","TRUE",0.5
"129",12,0.9486,"Large","L","FALSE",0.5
"130",12,0.9952,"Large","L","TRUE",0.5
"131",12,0.8722,"Small","L","FALSE",0.5
"132",12,0.999,"Small","L","TRUE",0.5
"133",13,0.4788,"Large","S","FALSE",0.55
"134",13,0.8538,"Large","S","TRUE",0.55
"135",13,0.4632,"Small","S","FALSE",0.55
"136",13,0.9834,"Small","S","TRUE",0.55
"137",13,0.7792,"Large","M","FALSE",0.55
"138",13,0.9638,"Large","M","TRUE",0.55
"139",13,0.6938,"Small","M","FALSE",0.55
"140",13,0.994,"Small","M","TRUE",0.55
"141",13,0.9666,"Large","L","FALSE",0.55
"142",13,0.9974,"Large","L","TRUE",0.55
"143",13,0.9146,"Small","L","FALSE",0.55
"144",13,1,"Small","L","TRUE",0.55
"145",14,0.546,"Large","S","FALSE",0.6
"146",14,0.886,"Large","S","TRUE",0.6
"147",14,0.5144,"Small","S","FALSE",0.6
"148",14,0.9904,"Small","S","TRUE",0.6
"149",14,0.8494,"Large","M","FALSE",0.6
"150",14,0.9836,"Large","M","TRUE",0.6
"151",14,0.7538,"Small","M","FALSE",0.6
"152",14,0.9984,"Small","M","TRUE",0.6
"153",14,0.9886,"Large","L","FALSE",0.6
"154",14,0.9998,"Large","L","TRUE",0.6
"155",14,0.955,"Small","L","FALSE",0.6
"156",14,1,"Small","L","TRUE",0.6
"157",15,0.6042,"Large","S","FALSE",0.65
"158",15,0.9272,"Large","S","TRUE",0.65
"159",15,0.5586,"Small","S","FALSE",0.65
"160",15,0.994,"Small","S","TRUE",0.65
"161",15,0.895,"Large","M","FALSE",0.65
"162",15,0.9926,"Large","M","TRUE",0.65
"163",15,0.8104,"Small","M","FALSE",0.65
"164",15,0.9996,"Small","M","TRUE",0.65
"165",15,0.9944,"Large","L","FALSE",0.65
"166",15,0.9998,"Large","L","TRUE",0.65
"167",15,0.9758,"Small","L","FALSE",0.65
"168",15,1,"Small","L","TRUE",0.65
"169",16,0.6866,"Large","S","FALSE",0.7
"170",16,0.956,"Large","S","TRUE",0.7
"171",16,0.594,"Small","S","FALSE",0.7
"172",16,0.9986,"Small","S","TRUE",0.7
"173",16,0.9298,"Large","M","FALSE",0.7
"174",16,0.9944,"Large","M","TRUE",0.7
"175",16,0.8504,"Small","M","FALSE",0.7
"176",16,0.9998,"Small","M","TRUE",0.7
"177",16,0.9986,"Large","L","FALSE",0.7
"178",16,1,"Large","L","TRUE",0.7
"179",16,0.9866,"Small","L","FALSE",0.7
"180",16,1,"Small","L","TRUE",0.7
"181",17,0.7402,"Large","S","FALSE",0.75
"182",17,0.9776,"Large","S","TRUE",0.75
"183",17,0.6374,"Small","S","FALSE",0.75
"184",17,0.9992,"Small","S","TRUE",0.75
"185",17,0.9562,"Large","M","FALSE",0.75
"186",17,0.9984,"Large","M","TRUE",0.75
"187",17,0.889,"Small","M","FALSE",0.75
"188",17,1,"Small","M","TRUE",0.75
"189",17,0.9998,"Large","L","FALSE",0.75
"190",17,1,"Large","L","TRUE",0.75
"191",17,0.995,"Small","L","FALSE",0.75
"192",17,1,"Small","L","TRUE",0.75
"193",18,0.7856,"Large","S","FALSE",0.8
"194",18,0.9838,"Large","S","TRUE",0.8
