"tmean","tnobs","n_reps","alpha","sizeclass","research_strategy","test_strategy","is_hacked","sigmean","mean_nobs","mean_eff","mean_eff_diff","mean_pvalue","size",".groups"
0.55,"100",4,5e-04,"L","DefaultResearchStrategy","TTest","0",0.6452,100,0.5536824224,0.00368242239999994,0.0058259642,"Large","drop"
0.6,"25",3,5e-04,"S","DefaultResearchStrategy","TTest","1",0.40871825634873,32.125174965007,0.831081291941612,0.231081291941612,0.0174167168566287,"Large","drop"
0.05,"20",4,5e-04,"L","DefaultResearchStrategy","TTest","1",0.03,26.6504,0.570476985,0.520476985,0.0980368572,"Small","drop"
0.9,"25",4,0.005,"S","DefaultResearchStrategy","TTest","1",0.9608,27.2242,1.0197417926,0.1197417926,0.0020233924,"Large","drop"
0.55,"5",5,5e-04,"S","DefaultResearchStrategy","TTest","1",0.3494,13.7484,1.4825517316,0.9325517316,0.0048090538,"Small","drop"
0.95,"20",3,0.005,"L","DefaultResearchStrategy","TTest","0",0.887,20,1.189997323,0.239997323,0.0027167154,"Small","drop"
0.7,"100",4,0.05,"L","DefaultResearchStrategy","TTest","0",0.9992,100,0.70410701,0.00410700999999991,0.0003600652,"Large","drop"
0.25,"50",5,0.05,"M","DefaultResearchStrategy","TTest","1",0.564,54.3394,0.3757857616,0.1257857616,0.1258572918,"Large","drop"
1,"100",5,0.005,"L","DefaultResearchStrategy","TTest","1",1,100,1.0020960276,0.00209602759999994,2.872e-07,"Large","drop"
0,"50",3,5e-04,"M","DefaultResearchStrategy","TTest","1",0.00459908018396321,55.5208958208358,0.147462627474505,0.147462627474505,0.424910316736653,"Large","drop"
0.05,"5",1,5e-04,"S","DefaultResearchStrategy","TTest","1",0.0046,10.9542,0.4995981108,0.4495981108,0.3792140018,"Small","drop"
0.7,"5",2,5e-04,"S","DefaultResearchStrategy","TTest","1",0.2806,13.8396,1.3571011444,0.6571011444,0.0128080052,"Small","drop"
0.5,"20",3,0.005,"L","DefaultResearchStrategy","TTest","0",0.2578,20,0.7881608248,0.2881608248,0.0509377834,"Small","drop"
0.05,"20",2,0.05,"L","DefaultResearchStrategy","TTest","0",0.071,20,0.2328502626,0.1828502626,0.455068191,"Small","drop"
0.4,"20",5,0.05,"L","DefaultResearchStrategy","TTest","1",0.9934,24.2262,0.7408600342,0.3408600342,0.0218110176,"Small","drop"
0.85,"10",3,0.05,"M","DefaultResearchStrategy","TTest","1",0.9996,13.4784,1.1642714152,0.3142714152,0.0160195878,"Small","drop"
0.8,"25",2,0.005,"S","DefaultResearchStrategy","TTest","1",0.8984,28.3016,0.9504309542,0.1504309542,0.004027885,"Large","drop"
0.45,"100",5,0.05,"L","DefaultResearchStrategy","TTest","1",0.9888,100.2614,0.4682267426,0.0182267426,0.0082193642,"Large","drop"
0.65,"100",2,5e-04,"L","DefaultResearchStrategy","TTest","0",0.8452,100,0.6506048034,0.00060480340000002,0.0011654626,"Large","drop"
0.7,"100",4,0.005,"L","DefaultResearchStrategy","TTest","0",0.9798,100,0.70077231,0.000772309999999887,0.0005817466,"Large","drop"
0.4,"50",3,5e-04,"M","DefaultResearchStrategy","TTest","1",0.28994201159768,56.2801439712058,0.555487448310338,0.155487448310338,0.0337074829034193,"Large","drop"
1,"25",1,0.05,"S","DefaultResearchStrategy","TTest","0",0.9292,25,1.0070455292,0.00704552920000001,0.014301048,"Large","drop"
0.55,"50",3,0.005,"M","DefaultResearchStrategy","TTest","0",0.448910217956409,50,0.553548849830034,0.0035488498300339,0.0508665858828234,"Large","drop"
0.5,"100",2,5e-04,"L","DefaultResearchStrategy","TTest","1",0.859,102.1382,0.5681039956,0.0681039956,0.0013539052,"Large","drop"
0.25,"25",3,0.005,"S","DefaultResearchStrategy","TTest","1",0.154169166166767,31.5960807838432,0.465965400119976,0.215965400119976,0.177851554089182,"Large","drop"
0.15,"5",3,0.005,"S","DefaultResearchStrategy","TTest","1",0.1282,12.0478,0.967873996,0.817873996,0.0978454888,"Small","drop"
0.25,"100",1,0.05,"L","DefaultResearchStrategy","TTest","0",0.4188,100,0.2515604518,0.00156045179999997,0.1844731686,"Large","drop"
0.85,"10",2,0.05,"M","DefaultResearchStrategy","TTest","1",0.9954,13.5876,1.154844713,0.304844713,0.0166018828,"Small","drop"
0,"25",5,5e-04,"S","DefaultResearchStrategy","TTest","0",2e-04,25,-0.0034922396,-0.0034922396,0.4916662558,"Large","drop"
0.95,"100",3,0.005,"L","DefaultResearchStrategy","TTest","0",0.999800039992002,100,0.954848224755049,0.00484822475504887,3.09498100379924e-06,"Large","drop"
0.95,"100",4,0.005,"L","DefaultResearchStrategy","TTest","0",1,100,0.9526503034,0.00265030339999994,1.9806e-06,"Large","drop"
0.8,"20",4,0.005,"L","DefaultResearchStrategy","TTest","0",0.809,20,1.1120851288,0.3120851288,0.0044733746,"Small","drop"
0.45,"50",1,0.005,"M","DefaultResearchStrategy","TTest","0",0.2756,50,0.451379934,0.00137993399999997,0.1078329604,"Large","drop"
0.6,"20",2,5e-04,"L","DefaultResearchStrategy","TTest","1",0.5364,27.467,0.9936213644,0.3936213644,0.0044536152,"Small","drop"
0.5,"100",4,0.005,"L","DefaultResearchStrategy","TTest","0",0.7496,100,0.5007050382,0.000705038200000008,0.012855136,"Large","drop"
0.05,"20",1,0.005,"L","DefaultResearchStrategy","TTest","1",0.033,26.013,0.2784305506,0.2284305506,0.3779006932,"Small","drop"
0.9,"20",5,5e-04,"L","DefaultResearchStrategy","TTest","1",0.9996,25.693,1.2283459148,0.3283459148,0.0001582736,"Small","drop"
1,"10",4,5e-04,"M","DefaultResearchStrategy","TTest","0",0.2164,10,1.5858388364,0.5858388364,0.0096274692,"Small","drop"
0.5,"25",3,5e-04,"S","DefaultResearchStrategy","TTest","1",0.254749050189962,32.1653669266147,0.727149634073185,0.227149634073185,0.0423096806638672,"Large","drop"
0.4,"25",1,5e-04,"S","DefaultResearchStrategy","TTest","0",0.0132,25,0.4088719392,0.00887193919999996,0.267882838,"Large","drop"
1,"25",4,0.005,"S","DefaultResearchStrategy","TTest","0",0.7278,25,1.0219272612,0.0219272612000001,0.0138909648,"Large","drop"
0,"5",2,0.005,"S","DefaultResearchStrategy","TTest","1",0.0426,10.7502,0.7297071006,0.7297071006,0.2485125284,"Small","drop"
