"","row","value","size","sizeclass","is_hacked","es"
"113",11,0.6042,"Large","M","FALSE",0.45
"114",11,0.8847,"Large","M","TRUE",0.45
"115",11,0.5695,"Small","M","FALSE",0.45
"116",11,0.9832,"Small","M","TRUE",0.45
"117",11,0.8904,"Large","L","FALSE",0.45
"118",11,0.9852,"Large","L","TRUE",0.45
"119",11,0.8119,"Small","L","FALSE",0.45
"120",11,0.9973,"Small","L","TRUE",0.45
"121",12,0.4226,"Large","S","FALSE",0.5
"122",12,0.807,"Large","S","TRUE",0.5
"123",12,0.4297,"Small","S","FALSE",0.5
"124",12,0.9766,"Small","S","TRUE",0.5
"125",12,0.7015,"Large","M","FALSE",0.5
"126",12,0.932,"Large","M","TRUE",0.5
"127",12,0.6422,"Small","M","FALSE",0.5
"128",12,0.9923,"Small","M","TRUE",0.5
"129",12,0.9392,"Large","L","FALSE",0.5
"130",12,0.9955,"Large","L","TRUE",0.5
"131",12,0.8728,"Small","L","FALSE",0.5
"132",12,0.9995,"Small","L","TRUE",0.5
"133",13,0.4791,"Large","S","FALSE",0.55
"134",13,0.8472,"Large","S","TRUE",0.55
"135",13,0.4582,"Small","S","FALSE",0.55
"136",13,0.9849,"Small","S","TRUE",0.55
"137",13,0.774,"Large","M","FALSE",0.55
"138",13,0.961,"Large","M","TRUE",0.55
"139",13,0.699,"Small","M","FALSE",0.55
"140",13,0.9977,"Small","M","TRUE",0.55
"141",13,0.9718,"Large","L","FALSE",0.55
"142",13,0.9982,"Large","L","TRUE",0.55
"143",13,0.917,"Small","L","FALSE",0.55
"144",13,0.9997,"Small","L","TRUE",0.55
"145",14,0.5439,"Large","S","FALSE",0.6
"146",14,0.8909,"Large","S","TRUE",0.6
"147",14,0.5055,"Small","S","FALSE",0.6
"148",14,0.9934,"Small","S","TRUE",0.6
"149",14,0.847,"Large","M","FALSE",0.6
"150",14,0.9822,"Large","M","TRUE",0.6
"151",14,0.7515,"Small","M","FALSE",0.6
"152",14,0.9986,"Small","M","TRUE",0.6
"153",14,0.989,"Large","L","FALSE",0.6
"154",14,0.9997,"Large","L","TRUE",0.6
"155",14,0.9529,"Small","L","FALSE",0.6
"156",14,1,"Small","L","TRUE",0.6
"157",15,0.6138,"Large","S","FALSE",0.65
"158",15,0.9199,"Large","S","TRUE",0.65
"159",15,0.5445,"Small","S","FALSE",0.65
"160",15,0.9964,"Small","S","TRUE",0.65
"161",15,0.8956,"Large","M","FALSE",0.65
"162",15,0.9907,"Large","M","TRUE",0.65
"163",15,0.8079,"Small","M","FALSE",0.65
"164",15,0.9998,"Small","M","TRUE",0.65
"165",15,0.9957,"Large","L","FALSE",0.65
"166",15,0.9999,"Large","L","TRUE",0.65
"167",15,0.9751,"Small","L","FALSE",0.65
"168",15,1,"Small","L","TRUE",0.65
"169",16,0.6741,"Large","S","FALSE",0.7
"170",16,0.9511,"Large","S","TRUE",0.7
"171",16,0.5871,"Small","S","FALSE",0.7
"172",16,0.9982,"Small","S","TRUE",0.7
"173",16,0.9326,"Large","M","FALSE",0.7
"174",16,0.9961,"Large","M","TRUE",0.7
"175",16,0.8494,"Small","M","FALSE",0.7
"176",16,1,"Small","M","TRUE",0.7
"177",16,0.9987,"Large","L","FALSE",0.7
"178",16,1,"Large","L","TRUE",0.7
"179",16,0.9862,"Small","L","FALSE",0.7
"180",16,1,"Small","L","TRUE",0.7
"181",17,0.7444,"Large","S","FALSE",0.75
"182",17,0.9749,"Large","S","TRUE",0.75
"183",17,0.6295,"Small","S","FALSE",0.75
"184",17,0.9991,"Small","S","TRUE",0.75
"185",17,0.9598,"Large","M","FALSE",0.75
"186",17,0.9984,"Large","M","TRUE",0.75
"187",17,0.8861,"Small","M","FALSE",0.75
"188",17,1,"Small","M","TRUE",0.75
"189",17,0.9995,"Large","L","FALSE",0.75
"190",17,1,"Large","L","TRUE",0.75
"191",17,0.9943,"Small","L","FALSE",0.75
"192",17,1,"Small","L","TRUE",0.75
"193",18,0.7959,"Large","S","FALSE",0.8
"194",18,0.9852,"Large","S","TRUE",0.8
"195",18,0.6657,"Small","S","FALSE",0.8
"196",18,0.9997,"Small","S","TRUE",0.8
"197",18,0.9799,"Large","M","FALSE",0.8
"198",18,0.9994,"Large","M","TRUE",0.8
"199",18,0.9222,"Small","M","FALSE",0.8
"200",18,1,"Small","M","TRUE",0.8
"201",18,1,"Large","L","FALSE",0.8
"202",18,1,"Large","L","TRUE",0.8
"203",18,0.9981,"Small","L","FALSE",0.8
"204",18,1,"Small","L","TRUE",0.8
"205",19,0.8305,"Large","S","FALSE",0.85
"206",19,0.989,"Large","S","TRUE",0.85
"207",19,0.7116,"Small","S","FALSE",0.85
"208",19,1,"Small","S","TRUE",0.85
"209",19,0.9868,"Large","M","FALSE",0.85
"210",19,0.9998,"Large","M","TRUE",0.85
"211",19,0.9438,"Small","M","FALSE",0.85
"212",19,1,"Small","M","TRUE",0.85
"213",19,0.9999,"Large","L","FALSE",0.85
"214",19,1,"Large","L","TRUE",0.85
"215",19,0.9981,"Small","L","FALSE",0.85
"216",19,1,"Small","L","TRUE",0.85
"217",20,0.8756,"Large","S","FALSE",0.9
"218",20,0.9963,"Large","S","TRUE",0.9
"219",20,0.7452,"Small","S","FALSE",0.9
"220",20,1,"Small","S","TRUE",0.9
"221",20,0.995,"Large","M","FALSE",0.9
"222",20,1,"Large","M","TRUE",0.9
"223",20,0.9611,"Small","M","FALSE",0.9
"224",20,1,"Small","M","TRUE",0.9
"225",20,1,"Large","L","FALSE",0.9
"226",20,1,"Large","L","TRUE",0.9
"227",20,0.9997,"Small","L","FALSE",0.9
"228",20,1,"Small","L","TRUE",0.9
"229",21,0.9052,"Large","S","FALSE",0.95
"230",21,0.9975,"Large","S","TRUE",0.95
"231",21,0.7816,"Small","S","FALSE",0.95
"232",21,1,"Small","S","TRUE",0.95
"233",21,0.9966,"Large","M","FALSE",0.95
"234",21,1,"Large","M","TRUE",0.95
"235",21,0.9744,"Small","M","FALSE",0.95
"236",21,1,"Small","M","TRUE",0.95
"237",21,1,"Large","L","FALSE",0.95
"238",21,1,"Large","L","TRUE",0.95
"239",21,0.9998,"Small","L","FALSE",0.95
"240",21,1,"Small","L","TRUE",0.95
"241",22,0.9357,"Large","S","FALSE",1
"242",22,0.9987,"Large","S","TRUE",1
"243",22,0.8194,"Small","S","FALSE",1
"244",22,1,"Small","S","TRUE",1
"245",22,0.9989,"Large","M","FALSE",1
"246",22,1,"Large","M","TRUE",1
"247",22,0.9849,"Small","M","FALSE",1
"248",22,1,"Small","M","TRUE",1
"249",22,1,"Large","L","FALSE",1
"250",22,1,"Large","L","TRUE",1
"251",22,1,"Small","L","FALSE",1
"252",22,1,"Small","L","TRUE",1
