"","value","col_code","sizeclass","size","is_hacked","es"
"2",-0.000143051396108414,2,"S","Large",FALSE,0
"3",-0.00290743779029504,2,"S","Large",FALSE,0.05
"4",-0.000608392967815993,2,"S","Large",FALSE,0.1
"5",0.00431857892696738,2,"S","Large",FALSE,0.15
"6",0.00135172168307912,2,"S","Large",FALSE,0.2
"7",0.000220463091261391,2,"S","Large",FALSE,0.25
"8",0.00698355764458547,2,"S","Large",FALSE,0.3
"9",0.000704219605084266,2,"S","Large",FALSE,0.35
"10",0.0062134808700029,2,"S","Large",FALSE,0.4
"11",0.00443687312911512,2,"S","Large",FALSE,0.45
"12",0.0131573710679888,2,"S","Large",FALSE,0.5
"13",0.00737155044028492,2,"S","Large",FALSE,0.55
"14",0.00935972259059481,2,"S","Large",FALSE,0.6
"15",0.00772059939992853,2,"S","Large",FALSE,0.65
"16",0.00587889753783888,2,"S","Large",FALSE,0.7
"17",0.0128894496868933,2,"S","Large",FALSE,0.75
"18",0.0166194993164743,2,"S","Large",FALSE,0.8
"19",0.00977465308652437,2,"S","Large",FALSE,0.85
"20",0.0135107896696683,2,"S","Large",FALSE,0.9
"21",0.0142866749853279,2,"S","Large",FALSE,0.95
"22",0.0148797055352874,2,"S","Large",FALSE,1
"23",0.185334245199235,3,"S","Large",TRUE,0
"24",0.186458092485098,3,"S","Large",TRUE,0.05
"25",0.186515153967246,3,"S","Large",TRUE,0.1
"26",0.187133626486856,3,"S","Large",TRUE,0.15
"27",0.18436958553534,3,"S","Large",TRUE,0.2
"28",0.184777784486266,3,"S","Large",TRUE,0.25
"29",0.182681081124474,3,"S","Large",TRUE,0.3
"30",0.169135367665898,3,"S","Large",TRUE,0.35
"31",0.16471941825093,3,"S","Large",TRUE,0.4
"32",0.158677596891994,3,"S","Large",TRUE,0.45
"33",0.152567270397801,3,"S","Large",TRUE,0.5
"34",0.135256011791606,3,"S","Large",TRUE,0.55
"35",0.124175356124684,3,"S","Large",TRUE,0.6
"36",0.109542062971598,3,"S","Large",TRUE,0.65
"37",0.0959643968974006,3,"S","Large",TRUE,0.7
"38",0.0876600768009609,3,"S","Large",TRUE,0.75
"39",0.0766761553779313,3,"S","Large",TRUE,0.8
"40",0.0617663470594302,3,"S","Large",TRUE,0.85
"41",0.0540646302040478,3,"S","Large",TRUE,0.9
"42",0.0474350396134298,3,"S","Large",TRUE,0.95
"43",0.0379054881119436,3,"S","Large",TRUE,1
"44",0.828285413509075,4,"S","Small",FALSE,0
"45",0.847038326905963,4,"S","Small",FALSE,0.05
"46",0.850555150708651,4,"S","Small",FALSE,0.1
"47",0.853133476239604,4,"S","Small",FALSE,0.15
"48",0.866497908272744,4,"S","Small",FALSE,0.2
"49",0.875937333923022,4,"S","Small",FALSE,0.25
"50",0.880272700931368,4,"S","Small",FALSE,0.3
"51",0.897102047507296,4,"S","Small",FALSE,0.35
"52",0.910807653880574,4,"S","Small",FALSE,0.4
"53",0.912599557625959,4,"S","Small",FALSE,0.45
"54",0.932519366014155,4,"S","Small",FALSE,0.5
"55",0.921835270283452,4,"S","Small",FALSE,0.55
"56",0.938527432119371,4,"S","Small",FALSE,0.6
"57",0.930134565688632,4,"S","Small",FALSE,0.65
"58",0.930605770340035,4,"S","Small",FALSE,0.7
"59",0.930015116994717,4,"S","Small",FALSE,0.75
"60",0.938630709787208,4,"S","Small",FALSE,0.8
"61",0.931142459089472,4,"S","Small",FALSE,0.85
"62",0.923878612437056,4,"S","Small",FALSE,0.9
"63",0.929326112234209,4,"S","Small",FALSE,0.95
"64",0.919517016731521,4,"S","Small",FALSE,1
"65",0.831471116945843,5,"S","Small",TRUE,0
"66",0.836542695536267,5,"S","Small",TRUE,0.05
"67",0.825264743847672,5,"S","Small",TRUE,0.1
"68",0.810784633865917,5,"S","Small",TRUE,0.15
"69",0.78745147330062,5,"S","Small",TRUE,0.2
"70",0.763255290724398,5,"S","Small",TRUE,0.25
"71",0.731624677539492,5,"S","Small",TRUE,0.3
"72",0.711512392326563,5,"S","Small",TRUE,0.35
"73",0.681823559757693,5,"S","Small",TRUE,0.4
"74",0.647400290297953,5,"S","Small",TRUE,0.45
"75",0.609353657055044,5,"S","Small",TRUE,0.5
"76",0.567431828770868,5,"S","Small",TRUE,0.55
"77",0.537624893215129,5,"S","Small",TRUE,0.6
"78",0.501557754526816,5,"S","Small",TRUE,0.65
"79",0.475378196396097,5,"S","Small",TRUE,0.7
"80",0.455477851009493,5,"S","Small",TRUE,0.75
"81",0.424905659238445,5,"S","Small",TRUE,0.8
"82",0.420014748774742,5,"S","Small",TRUE,0.85
"83",0.402271354742766,5,"S","Small",TRUE,0.9
"84",0.384357403431102,5,"S","Small",TRUE,0.95
"85",0.38279850607567,5,"S","Small",TRUE,1
"86",-0.00177933379850857,6,"M","Large",FALSE,0
"87",-0.00203364003193249,6,"M","Large",FALSE,0.05
"88",-0.00105326874982478,6,"M","Large",FALSE,0.1
"89",-0.00499562422470604,6,"M","Large",FALSE,0.15
"90",0.00300407593614466,6,"M","Large",FALSE,0.2
"91",0.000526214065527775,6,"M","Large",FALSE,0.25
"92",0.00375533348832463,6,"M","Large",FALSE,0.3
"93",0.0073247440240079,6,"M","Large",FALSE,0.35
"94",0.00636203234261257,6,"M","Large",FALSE,0.4
"95",0.00152117180267508,6,"M","Large",FALSE,0.45
"96",0.00398930680394105,6,"M","Large",FALSE,0.5
"97",0.0027057945891662,6,"M","Large",FALSE,0.55
"98",0.00490557390065971,6,"M","Large",FALSE,0.6
"99",0.00351033534798462,6,"M","Large",FALSE,0.65
